Feature,Importance
ct_state_ttl,0.33027535566290694
sttl,0.2141654482666335
sbytes,0.09690441684897354
dmeansz,0.08534544825720175
dpkts,0.05102857600221054
smeansz,0.04710535663032692
dttl,0.043531718770375094
sload,0.025225672250847177
dbytes,0.02384564436414297
dload,0.0218118195173685
dintpkt,0.016131258161543927
tcprtt,0.007713962034641474
ackdat,0.005999831186839722
synack,0.0048958153139691705
sloss,0.004045689370603812
swin,0.003911235936203403
sintpkt,0.003623506834289957
spkts,0.0030244006621535525
dur,0.0025989046734268516
dloss,0.002221724130267597
sjit,0.0017594570113966634
is_sm_ips_ports,0.0013934800294121102
djit,0.001278150276238286
trans_depth,0.0008955024661478776
ct_flw_http_mthd,0.0006885772339950316
dwin,0.0005790481078838038
