,precision,recall,f1-score,support
Normal,0.9899101418569689,0.9986622314880645,0.9942669268573002,665287.0
Generic,0.9980286710088473,0.9808735546669146,0.9893767539299757,64518.0
Exploits,0.5854726368159204,0.8690643231666789,0.6996224844683571,13541.0
Fuzzers,0.6606521050965496,0.2859687585639901,0.3991584584488859,7298.0
DoS,0.84375,0.022126613398893668,0.043122379716510284,4881.0
Reconnaissance,0.8625553097345132,0.7574065080135989,0.8065683992759245,4118.0
Analysis,1.0,0.0037831021437578815,0.007537688442211055,793.0
Backdoor,0.8571428571428571,0.011627906976744186,0.022944550669216062,516.0
Shellcode,0.0,0.0,0.0,439.0
Backdoors,0.0,0.0,0.0,157.0
Worms,0.8888888888888888,0.15384615384615385,0.26229508196721313,52.0
accuracy,0.9779149159663866,0.9779149159663866,0.9779149159663866,0.9779149159663866
macro avg,0.6987636918676859,0.37121446838770883,0.38408115670687215,761600.0
weighted avg,0.9777656786132612,0.9779149159663866,0.973287161230396,761600.0
