Feature,Importance
ct_state_ttl,0.2647283049025005
sttl,0.1607859987707873
sbytes,0.15452849721278727
smeansz,0.09754182987618538
dmeansz,0.0736303121956086
dbytes,0.04856194173668639
dpkts,0.03877172045100532
dttl,0.03767339141119236
sload,0.029863526385004117
dintpkt,0.014830863913063904
spkts,0.011680831618764306
dload,0.00909675576391516
sintpkt,0.008423057677587269
dur,0.008307518387916553
sjit,0.00788292659082438
ackdat,0.00549729202920595
swin,0.004971695206270391
dloss,0.004944054035748169
synack,0.004852523744395827
sloss,0.004162080180730072
tcprtt,0.0030864111342379904
trans_depth,0.0022359479837620873
ct_flw_http_mthd,0.0019261187953911376
djit,0.0010339193110835748
is_sm_ips_ports,0.0008192093962902812
dwin,0.0001632712890555826
